"","start","Bewakoofiyaan."
"1",2014-04-01,76
"2",2014-04-02,75
"3",2014-04-03,77
"4",2014-04-04,72
"5",2014-04-05,100
"6",2014-04-06,96
"7",2014-04-07,62
"8",2014-04-08,53
"9",2014-04-09,51
"10",2014-04-10,58
"11",2014-04-11,70
"12",2014-04-12,98
"13",2014-04-13,80
"14",2014-04-14,55
"15",2014-04-15,58
"16",2014-04-16,66
"17",2014-04-17,61
"18",2014-04-18,71
"19",2014-04-19,79
"20",2014-04-20,70
"21",2014-04-21,54
"22",2014-04-22,41
"23",2014-04-23,42
"24",2014-04-24,46
"25",2014-04-25,51
"26",2014-04-26,69
"27",2014-04-27,61
"28",2014-04-28,36
"29",2014-04-29,36
"30",2014-04-30,42
