"","start","Dhoom.3."
"1",2014-01-01,100
"2",2014-01-02,80
"3",2014-01-03,74
"4",2014-01-04,81
"5",2014-01-05,73
"6",2014-01-06,59
"7",2014-01-07,54
"8",2014-01-08,52
"9",2014-01-09,47
"10",2014-01-10,48
"11",2014-01-11,55
"12",2014-01-12,50
"13",2014-01-13,37
"14",2014-01-14,36
"15",2014-01-15,32
"16",2014-01-16,33
"17",2014-01-17,35
"18",2014-01-18,41
"19",2014-01-19,37
"20",2014-01-20,28
"21",2014-01-21,27
"22",2014-01-22,28
"23",2014-01-23,27
"24",2014-01-24,28
"25",2014-01-25,35
"26",2014-01-26,32
"27",2014-01-27,24
"28",2014-01-28,22
"29",2014-01-29,22
"30",2014-01-30,22
"31",2014-01-31,24
