"","start","Dum.Laga.Ke.Haisha."
"1",2015-05-01,46
"2",2015-05-02,53
"3",2015-05-03,51
"4",2015-05-04,36
"5",2015-05-05,29
"6",2015-05-06,30
"7",2015-05-07,30
"8",2015-05-08,36
"9",2015-05-09,46
"10",2015-05-10,46
"11",2015-05-11,29
"12",2015-05-12,30
"13",2015-05-13,31
"14",2015-05-14,35
"15",2015-05-15,38
"16",2015-05-16,52
"17",2015-05-17,45
"18",2015-05-18,37
"19",2015-05-19,33
"20",2015-05-20,33
"21",2015-05-21,38
"22",2015-05-22,41
"23",2015-05-23,100
"24",2015-05-24,66
"25",2015-05-25,36
"26",2015-05-26,29
"27",2015-05-27,25
"28",2015-05-28,25
"29",2015-05-29,27
"30",2015-05-30,36
"31",2015-05-31,32
"32",2015-06-01,20
"33",2015-06-02,21
"34",2015-06-03,24
"35",2015-06-04,23
"36",2015-06-05,26
"37",2015-06-06,31
"38",2015-06-07,65
"39",2015-06-08,32
"40",2015-06-09,22
"41",2015-06-10,22
"42",2015-06-11,20
"43",2015-06-12,21
"44",2015-06-13,29
"45",2015-06-14,25
"46",2015-06-15,17
"47",2015-06-16,16
"48",2015-06-17,18
"49",2015-06-18,14
"50",2015-06-19,17
"51",2015-06-20,22
"52",2015-06-21,23
"53",2015-06-22,16
"54",2015-06-23,16
"55",2015-06-24,16
"56",2015-06-25,15
"57",2015-06-26,16
"58",2015-06-27,21
"59",2015-06-28,32
"60",2015-06-29,25
"61",2015-06-30,19
"62",2015-07-01,15
"63",2015-07-02,19
"64",2015-07-03,21
"65",2015-07-04,30
"66",2015-07-05,33
"67",2015-07-06,23
"68",2015-07-07,21
"69",2015-07-08,25
"70",2015-07-09,21
"71",2015-07-10,28
"72",2015-07-11,65
"73",2015-07-12,66
"74",2015-07-13,23
"75",2015-07-14,18
"76",2015-07-15,16
"77",2015-07-16,16
"78",2015-07-17,14
"79",2015-07-18,22
"80",2015-07-19,21
"81",2015-07-20,12
"82",2015-07-21,13
"83",2015-07-22,11
"84",2015-07-23,13
"85",2015-07-24,14
"86",2015-07-25,19
"87",2015-07-26,17
"88",2015-07-27,15
"89",2015-07-28,15
"90",2015-07-29,12
"91",2015-07-30,12
"92",2015-07-31,18
