"","start","Filmistaan."
"1",2014-06-01,4
"2",2014-06-02,6
"3",2014-06-03,6
"4",2014-06-04,9
"5",2014-06-05,25
"6",2014-06-06,72
"7",2014-06-07,100
"8",2014-06-08,89
"9",2014-06-09,60
"10",2014-06-10,47
"11",2014-06-11,38
"12",2014-06-12,37
"13",2014-06-13,37
"14",2014-06-14,46
"15",2014-06-15,38
"16",2014-06-16,23
"17",2014-06-17,20
"18",2014-06-18,20
"19",2014-06-19,16
"20",2014-06-20,21
"21",2014-06-21,22
"22",2014-06-22,22
"23",2014-06-23,13
"24",2014-06-24,12
"25",2014-06-25,10
"26",2014-06-26,10
"27",2014-06-27,11
"28",2014-06-28,15
"29",2014-06-29,11
"30",2014-06-30,8
