"","start","Gori.Tere.Pyaar.Mein."
"1",2013-09-01,0
"2",2013-09-02,0
"3",2013-09-03,1
"4",2013-09-04,0
"5",2013-09-05,0
"6",2013-09-06,1
"7",2013-09-07,0
"8",2013-09-08,2
"9",2013-09-09,2
"10",2013-09-10,11
"11",2013-09-11,12
"12",2013-09-12,5
"13",2013-09-13,3
"14",2013-09-14,3
"15",2013-09-15,3
"16",2013-09-16,2
"17",2013-09-17,2
"18",2013-09-18,2
"19",2013-09-19,2
"20",2013-09-20,2
"21",2013-09-21,2
"22",2013-09-22,2
"23",2013-09-23,2
"24",2013-09-24,2
"25",2013-09-25,2
"26",2013-09-26,1
"27",2013-09-27,1
"28",2013-09-28,2
"29",2013-09-29,2
"30",2013-09-30,2
"31",2013-10-01,2
"32",2013-10-02,2
"33",2013-10-03,2
"34",2013-10-04,2
"35",2013-10-05,2
"36",2013-10-06,2
"37",2013-10-07,3
"38",2013-10-08,2
"39",2013-10-09,3
"40",2013-10-10,7
"41",2013-10-11,7
"42",2013-10-12,7
"43",2013-10-13,6
"44",2013-10-14,7
"45",2013-10-15,6
"46",2013-10-16,7
"47",2013-10-17,9
"48",2013-10-18,9
"49",2013-10-19,10
"50",2013-10-20,9
"51",2013-10-21,7
"52",2013-10-22,8
"53",2013-10-23,7
"54",2013-10-24,10
"55",2013-10-25,10
"56",2013-10-26,14
"57",2013-10-27,14
"58",2013-10-28,9
"59",2013-10-29,10
"60",2013-10-30,11
"61",2013-10-31,14
"62",2013-11-01,14
"63",2013-11-02,13
"64",2013-11-03,12
"65",2013-11-04,10
"66",2013-11-05,13
"67",2013-11-06,12
"68",2013-11-07,13
"69",2013-11-08,12
"70",2013-11-09,15
"71",2013-11-10,15
"72",2013-11-11,13
"73",2013-11-12,13
"74",2013-11-13,13
"75",2013-11-14,14
"76",2013-11-15,17
"77",2013-11-16,19
"78",2013-11-17,25
"79",2013-11-18,21
"80",2013-11-19,17
"81",2013-11-20,19
"82",2013-11-21,28
"83",2013-11-22,82
"84",2013-11-23,100
"85",2013-11-24,86
"86",2013-11-25,60
"87",2013-11-26,49
"88",2013-11-27,43
"89",2013-11-28,42
"90",2013-11-29,40
"91",2013-11-30,50
