"","start","Heropanti."
"1",2014-07-01,80
"2",2014-07-02,80
"3",2014-07-03,79
"4",2014-07-04,82
"5",2014-07-05,95
"6",2014-07-06,100
"7",2014-07-07,69
"8",2014-07-08,71
"9",2014-07-09,68
"10",2014-07-10,67
"11",2014-07-11,71
"12",2014-07-12,90
"13",2014-07-13,88
"14",2014-07-14,62
"15",2014-07-15,62
"16",2014-07-16,58
"17",2014-07-17,59
"18",2014-07-18,64
"19",2014-07-19,76
"20",2014-07-20,75
"21",2014-07-21,56
"22",2014-07-22,54
"23",2014-07-23,53
"24",2014-07-24,53
"25",2014-07-25,55
"26",2014-07-26,65
"27",2014-07-27,68
"28",2014-07-28,53
"29",2014-07-29,59
"30",2014-07-30,55
"31",2014-07-31,57
